scenario,algorithmKey,objectiveKey,seed,initialBest,finalBest,improvementPercent,steps,stopReason
Scatter / Ackley,scatter,ackley,29,3.233292380579737,0.0007100494709426641,99.97803942893604,6157,Причина остановки: достигнута целевая точность
Scatter / Ackley,scatter,ackley,31,4.481108242147908,0.0009203225633633849,99.9794621661957,3079,Причина остановки: достигнута целевая точность
Scatter / Rastrigin,scatter,rastrigin,11,1.8023485583893564,0.0004144484470955945,99.97700508898978,163,Причина остановки: достигнута целевая точность
Scatter / Rastrigin,scatter,rastrigin,19,1.25358199780967,0.0002267823002490843,99.98190925678215,487,Причина остановки: достигнута целевая точность
Scatter / Rastrigin,scatter,rastrigin,23,2.0530203122243194,0.0008953230483736974,99.95638995663889,163,Причина остановки: достигнута целевая точность
Scatter / Rastrigin,scatter,rastrigin,29,4.078986274526628,0.0001565673943701995,99.99616161016898,487,Причина остановки: достигнута целевая точность
Scatter / Rastrigin,scatter,rastrigin,31,6.90318436570989,0.00005025548445125594,99.99927199562131,973,Причина остановки: достигнута целевая точность
Cuckoo Search / Sphere,cuckoo,sphere,11,0.009286521688612995,0.000012080990598931077,99.86990833593008,481,Причина остановки: достигнут лимит iter=120
Cuckoo Search / Sphere,cuckoo,sphere,19,0.2056646993661955,0.0001383944495980322,99.93270870011989,481,Причина остановки: достигнут лимит iter=120
Cuckoo Search / Sphere,cuckoo,sphere,23,0.010530154455274618,0.000014308763280104138,99.86411630198894,481,Причина остановки: достигнут лимит iter=120
Cuckoo Search / Sphere,cuckoo,sphere,29,0.28306290932921474,8.275219576914916e-8,99.99997076544011,305,Причина остановки: достигнута целевая точность
Cuckoo Search / Sphere,cuckoo,sphere,31,1.9141985492566684,0.00004949708674104592,99.99741421354852,481,Причина остановки: достигнут лимит iter=120
Cuckoo Search / Ackley,cuckoo,ackley,11,0.5038143496657703,0.02741133123759809,94.55923967711863,481,Причина остановки: достигнут лимит iter=120
Cuckoo Search / Ackley,cuckoo,ackley,19,2.9699512478627597,0.016669729157761992,99.43872044466191,481,Причина остановки: достигнут лимит iter=120
Cuckoo Search / Ackley,cuckoo,ackley,23,0.5520461442172611,0.0399135781860771,92.76988371277005,481,Причина остановки: достигнут лимит iter=120
Cuckoo Search / Ackley,cuckoo,ackley,29,3.557446215896359,0.04105762979318328,98.8458678697736,481,Причина остановки: достигнут лимит iter=120
Cuckoo Search / Ackley,cuckoo,ackley,31,4.481108242147908,0.014055870299497286,99.68633048924612,481,Причина остановки: достигнут лимит iter=120
Cuckoo Search / Rastrigin,cuckoo,rastrigin,11,1.8023485583893564,0.009087116528016637,99.49581802666754,481,Причина остановки: достигнут лимит iter=120
Cuckoo Search / Rastrigin,cuckoo,rastrigin,19,3.9860946255424548,0.0009692074945064633,99.97568528633776,145,Причина остановки: достигнута целевая точность
Cuckoo Search / Rastrigin,cuckoo,rastrigin,23,2.0530203122243194,0.00087091087608826,99.95757904240389,213,Причина остановки: достигнута целевая точность
Cuckoo Search / Rastrigin,cuckoo,rastrigin,29,4.078986274526628,0.9982432191616457,75.52717386190535,481,Причина остановки: достигнут лимит iter=120
Cuckoo Search / Rastrigin,cuckoo,rastrigin,31,6.90318436570989,1.9979412165403243,71.05768713834915,481,Причина остановки: достигнут лимит iter=120
